.imp,hispanic,black,api,aian,state
1,NA,NA,NA,NA,Alabama
1,NA,NA,NA,NA,Kansas
1,NA,NA,NA,NA,Ohio
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,South Carolina
1,NA,NA,NA,NA,South Carolina
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Wisconsin
1,NA,NA,NA,NA,New York
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Indiana
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Virginia
1,NA,NA,NA,NA,Tennessee
1,NA,NA,NA,NA,Oklahoma
1,NA,NA,NA,NA,Nebraska
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Virginia
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Indiana
1,NA,NA,NA,NA,Michigan
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Wisconsin
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Kansas
1,NA,NA,NA,NA,North Dakota
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,Tennessee
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,Oklahoma
1,NA,NA,NA,NA,Oregon
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Missouri
1,NA,NA,NA,NA,West Virginia
1,NA,NA,NA,NA,Minnesota
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Ohio
1,NA,NA,NA,NA,Nevada
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,Minnesota
1,NA,NA,NA,NA,Idaho
1,NA,NA,NA,NA,Washington
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Washington
1,NA,NA,NA,NA,Missouri
1,NA,NA,NA,NA,North Carolina
1,NA,NA,NA,NA,Michigan
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,New Mexico
1,NA,NA,NA,NA,New Mexico
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Indiana
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Massachusetts
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,North Carolina
1,NA,NA,NA,NA,New Mexico
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,South Carolina
1,NA,NA,NA,NA,New Hampshire
1,NA,NA,NA,NA,Kentucky
1,NA,NA,NA,NA,Louisiana
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Arkansas
1,NA,NA,NA,NA,Louisiana
1,NA,NA,NA,NA,Massachusetts
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,New Mexico
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Tennessee
1,NA,NA,NA,NA,West Virginia
1,NA,NA,NA,NA,Montana
1,NA,NA,NA,NA,Mississippi
1,NA,NA,NA,NA,South Carolina
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Alabama
1,NA,NA,NA,NA,Michigan
1,NA,NA,NA,NA,North Carolina
1,NA,NA,NA,NA,New Mexico
1,NA,NA,NA,NA,Tennessee
1,NA,NA,NA,NA,Nebraska
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Wisconsin
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,Oklahoma
1,NA,NA,NA,NA,Virginia
1,NA,NA,NA,NA,Alabama
1,NA,NA,NA,NA,Indiana
1,NA,NA,NA,NA,New York
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Oregon
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,New York
1,NA,NA,NA,NA,Ohio
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Tennessee
1,NA,NA,NA,NA,Indiana
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,Oklahoma
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,Wisconsin
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,Georgia
1,NA,NA,NA,NA,Louisiana
1,NA,NA,NA,NA,Illinois
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Texas
1,NA,NA,NA,NA,Virginia
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,Florida
1,NA,NA,NA,NA,Virginia
1,NA,NA,NA,NA,Pennsylvania
1,NA,NA,NA,NA,Wisconsin
1,NA,NA,NA,NA,New York
1,NA,NA,NA,NA,Pennsylvania
1,NA,NA,NA,NA,Arkansas
1,NA,NA,NA,NA,Kentucky
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,New Hampshire
1,NA,NA,NA,NA,Massachusetts
1,NA,NA,NA,NA,Ohio
1,NA,NA,NA,NA,Colorado
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,Arizona
1,NA,NA,NA,NA,North Carolina
1,NA,NA,NA,NA,California
1,NA,NA,NA,NA,Idaho
1,NA,NA,NA,NA,Alabama
1,NA,NA,NA,NA,New York
1,NA,NA,NA,NA,Kentucky
