gender,race_ethn,year,age,m_i.med,m_i.lwr,m_i.upr
Female,aian,2013,0,1e-8,0,6e-8
Female,aian,2013,1,3e-8,0,6e-8
Female,aian,2013,5,4e-8,1e-8,8e-8
Female,aian,2013,10,4e-8,1e-8,8e-8
Female,aian,2013,15,1.5e-7,8e-8,2.3e-7
Female,aian,2013,20,4.5e-7,3.1e-7,6.4e-7
Female,aian,2013,25,7.2e-7,5.3e-7,9.7e-7
Female,aian,2013,30,8.1e-7,6e-7,1.07e-6
Female,aian,2013,35,7.3e-7,5.5e-7,9.6e-7
Female,aian,2013,40,7.1e-7,5.2e-7,9.3e-7
Female,aian,2013,45,5.1e-7,3.6e-7,6.9e-7
Female,aian,2013,50,4.9e-7,3.5e-7,6.6e-7
Female,aian,2013,55,3.1e-7,2.1e-7,4.4e-7
Female,aian,2013,60,2.3e-7,1.5e-7,3.4e-7
Female,aian,2013,65,1.5e-7,9e-8,2.4e-7
Female,aian,2013,70,1.1e-7,5e-8,1.9e-7
Female,aian,2013,75,1.8e-7,1e-7,2.9e-7
Female,aian,2013,80,2.2e-7,1.2e-7,3.5e-7
Female,aian,2014,0,1e-8,0,6e-8
Female,aian,2014,1,3e-8,0,6e-8
Female,aian,2014,5,4e-8,1e-8,8e-8
Female,aian,2014,10,4e-8,1e-8,8e-8
Female,aian,2014,15,1.5e-7,8e-8,2.4e-7
Female,aian,2014,20,4.5e-7,3.1e-7,6.4e-7
Female,aian,2014,25,7.2e-7,5.3e-7,9.7e-7
Female,aian,2014,30,8.1e-7,6.1e-7,1.08e-6
Female,aian,2014,35,7.4e-7,5.5e-7,9.6e-7
Female,aian,2014,40,7.2e-7,5.2e-7,9.4e-7
Female,aian,2014,45,5.1e-7,3.6e-7,6.9e-7
Female,aian,2014,50,4.9e-7,3.5e-7,6.6e-7
Female,aian,2014,55,3.2e-7,2.1e-7,4.4e-7
Female,aian,2014,60,2.3e-7,1.5e-7,3.4e-7
Female,aian,2014,65,1.5e-7,9e-8,2.4e-7
Female,aian,2014,70,1.1e-7,6e-8,1.9e-7
Female,aian,2014,75,1.8e-7,1e-7,3e-7
Female,aian,2014,80,2.2e-7,1.2e-7,3.6e-7
Female,aian,2015,0,1e-8,0,6e-8
Female,aian,2015,1,3e-8,0,6e-8
Female,aian,2015,5,4e-8,1e-8,8e-8
Female,aian,2015,10,4e-8,1e-8,8e-8
Female,aian,2015,15,1.5e-7,8e-8,2.3e-7
Female,aian,2015,20,4.5e-7,3.1e-7,6.4e-7
Female,aian,2015,25,7.2e-7,5.3e-7,9.7e-7
Female,aian,2015,30,8e-7,6e-7,1.07e-6
Female,aian,2015,35,7.3e-7,5.5e-7,9.6e-7
Female,aian,2015,40,7.1e-7,5.2e-7,9.3e-7
Female,aian,2015,45,5.1e-7,3.6e-7,6.9e-7
Female,aian,2015,50,4.9e-7,3.5e-7,6.6e-7
Female,aian,2015,55,3.1e-7,2.1e-7,4.4e-7
Female,aian,2015,60,2.3e-7,1.4e-7,3.4e-7
Female,aian,2015,65,1.5e-7,9e-8,2.4e-7
Female,aian,2015,70,1.1e-7,5e-8,1.9e-7
Female,aian,2015,75,1.8e-7,1e-7,2.9e-7
Female,aian,2015,80,2.2e-7,1.2e-7,3.5e-7
Female,aian,2016,0,1e-8,0,6e-8
Female,aian,2016,1,3e-8,0,6e-8
Female,aian,2016,5,4e-8,1e-8,8e-8
Female,aian,2016,10,4e-8,1e-8,8e-8
Female,aian,2016,15,1.5e-7,8e-8,2.3e-7
Female,aian,2016,20,4.5e-7,3.1e-7,6.4e-7
Female,aian,2016,25,7.2e-7,5.3e-7,9.7e-7
Female,aian,2016,30,8e-7,6e-7,1.07e-6
Female,aian,2016,35,7.3e-7,5.5e-7,9.6e-7
Female,aian,2016,40,7.1e-7,5.2e-7,9.3e-7
Female,aian,2016,45,5.1e-7,3.6e-7,6.9e-7
Female,aian,2016,50,4.9e-7,3.5e-7,6.5e-7
Female,aian,2016,55,3.1e-7,2.1e-7,4.4e-7
Female,aian,2016,60,2.3e-7,1.4e-7,3.4e-7
Female,aian,2016,65,1.5e-7,9e-8,2.4e-7
Female,aian,2016,70,1.1e-7,5e-8,1.9e-7
Female,aian,2016,75,1.8e-7,1e-7,2.9e-7
Female,aian,2016,80,2.2e-7,1.2e-7,3.5e-7
Female,aian,2017,0,1e-8,0,6e-8
Female,aian,2017,1,3e-8,0,6e-8
Female,aian,2017,5,4e-8,1e-8,8e-8
Female,aian,2017,10,4e-8,1e-8,8e-8
Female,aian,2017,15,1.5e-7,8e-8,2.4e-7
Female,aian,2017,20,4.6e-7,3.2e-7,6.5e-7
Female,aian,2017,25,7.4e-7,5.5e-7,9.9e-7
Female,aian,2017,30,8.3e-7,6.2e-7,1.1e-6
Female,aian,2017,35,7.5e-7,5.6e-7,9.8e-7
Female,aian,2017,40,7.3e-7,5.4e-7,9.5e-7
Female,aian,2017,45,5.2e-7,3.7e-7,7e-7
Female,aian,2017,50,5e-7,3.6e-7,6.7e-7
Female,aian,2017,55,3.2e-7,2.1e-7,4.5e-7
Female,aian,2017,60,2.4e-7,1.5e-7,3.5e-7
Female,aian,2017,65,1.6e-7,9e-8,2.5e-7
Female,aian,2017,70,1.1e-7,6e-8,1.9e-7
Female,aian,2017,75,1.9e-7,1e-7,3e-7
Female,aian,2017,80,2.2e-7,1.2e-7,3.6e-7
Female,aian,2018,0,2e-8,0,6e-8
Female,aian,2018,1,3e-8,1e-8,7e-8
Female,aian,2018,5,4e-8,1e-8,8e-8
Female,aian,2018,10,4e-8,1e-8,9e-8
Female,aian,2018,15,1.6e-7,9e-8,2.5e-7
Female,aian,2018,20,4.8e-7,3.4e-7,6.8e-7
Female,aian,2018,25,7.7e-7,5.7e-7,1.04e-6
Female,aian,2018,30,8.6e-7,6.5e-7,1.15e-6
Female,aian,2018,35,7.9e-7,5.9e-7,1.03e-6
Female,aian,2018,40,7.6e-7,5.6e-7,1e-6
Female,aian,2018,45,5.5e-7,3.9e-7,7.4e-7
Female,aian,2018,50,5.2e-7,3.8e-7,7e-7
Female,aian,2018,55,3.4e-7,2.2e-7,4.7e-7
Female,aian,2018,60,2.5e-7,1.6e-7,3.6e-7
Female,aian,2018,65,1.7e-7,9e-8,2.6e-7
Female,aian,2018,70,1.2e-7,6e-8,2e-7
Female,aian,2018,75,1.9e-7,1.1e-7,3.1e-7
Female,aian,2018,80,2.3e-7,1.3e-7,3.8e-7
Female,aian,2019,0,1e-8,0,6e-8
Female,aian,2019,1,3e-8,0,6e-8
Female,aian,2019,5,4e-8,1e-8,8e-8
Female,aian,2019,10,4e-8,1e-8,8e-8
Female,aian,2019,15,1.5e-7,8e-8,2.4e-7
Female,aian,2019,20,4.6e-7,3.2e-7,6.5e-7
Female,aian,2019,25,7.3e-7,5.4e-7,9.8e-7
Female,aian,2019,30,8.2e-7,6.1e-7,1.09e-6
Female,aian,2019,35,7.4e-7,5.6e-7,9.7e-7
Female,aian,2019,40,7.2e-7,5.3e-7,9.5e-7
Female,aian,2019,45,5.2e-7,3.6e-7,7e-7
Female,aian,2019,50,5e-7,3.5e-7,6.6e-7
Female,aian,2019,55,3.2e-7,2.1e-7,4.5e-7
Female,aian,2019,60,2.3e-7,1.5e-7,3.4e-7
Female,aian,2019,65,1.6e-7,9e-8,2.5e-7
Female,aian,2019,70,1.1e-7,6e-8,1.9e-7
Female,aian,2019,75,1.8e-7,1e-7,3e-7
Female,aian,2019,80,2.2e-7,1.2e-7,3.6e-7
Female,aian,2020,0,2e-8,0,6e-8
Female,aian,2020,1,3e-8,0,6e-8
Female,aian,2020,5,4e-8,1e-8,8e-8
Female,aian,2020,10,4e-8,1e-8,9e-8
Female,aian,2020,15,1.5e-7,9e-8,2.4e-7
Female,aian,2020,20,4.7e-7,3.2e-7,6.6e-7
Female,aian,2020,25,7.4e-7,5.5e-7,1e-6
Female,aian,2020,30,8.3e-7,6.3e-7,1.1e-6
Female,aian,2020,35,7.6e-7,5.7e-7,9.9e-7
Female,aian,2020,40,7.3e-7,5.4e-7,9.6e-7
Female,aian,2020,45,5.3e-7,3.7e-7,7.1e-7
Female,aian,2020,50,5e-7,3.6e-7,6.8e-7
Female,aian,2020,55,3.2e-7,2.1e-7,4.6e-7
Female,aian,2020,60,2.4e-7,1.5e-7,3.5e-7
Female,aian,2020,65,1.6e-7,9e-8,2.5e-7
Female,aian,2020,70,1.2e-7,6e-8,2e-7
Female,aian,2020,75,1.9e-7,1e-7,3e-7
Female,aian,2020,80,2.2e-7,1.3e-7,3.7e-7
Female,aian,2021,0,2e-8,0,6e-8
Female,aian,2021,1,3e-8,1e-8,6e-8
Female,aian,2021,5,4e-8,1e-8,8e-8
Female,aian,2021,10,4e-8,1e-8,9e-8
Female,aian,2021,15,1.6e-7,9e-8,2.5e-7
Female,aian,2021,20,4.8e-7,3.3e-7,6.7e-7
Female,aian,2021,25,7.6e-7,5.7e-7,1.02e-6
Female,aian,2021,30,8.5e-7,6.4e-7,1.13e-6
Female,aian,2021,35,7.8e-7,5.8e-7,1.01e-6
Female,aian,2021,40,7.5e-7,5.5e-7,9.8e-7
Female,aian,2021,45,5.4e-7,3.8e-7,7.2e-7
Female,aian,2021,50,5.2e-7,3.7e-7,6.9e-7
Female,aian,2021,55,3.3e-7,2.2e-7,4.7e-7
Female,aian,2021,60,2.4e-7,1.5e-7,3.6e-7
Female,aian,2021,65,1.6e-7,9e-8,2.6e-7
Female,aian,2021,70,1.2e-7,6e-8,2e-7
Female,aian,2021,75,1.9e-7,1.1e-7,3.1e-7
Female,aian,2021,80,2.3e-7,1.3e-7,3.7e-7
Female,aian,2022,0,2e-8,0,6e-8
Female,aian,2022,1,3e-8,1e-8,7e-8
Female,aian,2022,5,4e-8,1e-8,9e-8
Female,aian,2022,10,5e-8,2e-8,9e-8
Female,aian,2022,15,1.6e-7,9e-8,2.6e-7
Female,aian,2022,20,5e-7,3.5e-7,7.1e-7
Female,aian,2022,25,8e-7,5.989999999999782e-7,1.07e-6
Female,aian,2022,30,9e-7,6.7e-7,1.19e-6
Female,aian,2022,35,8.1e-7,6.1e-7,1.07e-6
Female,aian,2022,40,7.9e-7,5.8e-7,1.03e-6
Female,aian,2022,45,5.7e-7,4e-7,7.6e-7
Female,aian,2022,50,5.4e-7,3.9e-7,7.3e-7
Female,aian,2022,55,3.5e-7,2.3e-7,4.9e-7
Female,aian,2022,60,2.6e-7,1.6e-7,3.8e-7
Female,aian,2022,65,1.7e-7,1e-7,2.7e-7
Female,aian,2022,70,1.2e-7,6e-8,2.1e-7
Female,aian,2022,75,2e-7,1.1e-7,3.3e-7
Female,aian,2022,80,2.4e-7,1.3e-7,3.9e-7
Female,aian,2023,0,2e-8,0,7e-8
Female,aian,2023,1,3e-8,1e-8,7e-8
Female,aian,2023,5,4e-8,1e-8,9e-8
Female,aian,2023,10,5e-8,2e-8,1e-7
Female,aian,2023,15,1.7e-7,1e-7,2.7e-7
Female,aian,2023,20,5.3e-7,3.7e-7,7.5e-7
Female,aian,2023,25,8.5e-7,6.3e-7,1.14e-6
Female,aian,2023,30,9.5e-7,7.1e-7,1.26e-6
Female,aian,2023,35,8.6e-7,6.489999999999781e-7,1.13e-6
Female,aian,2023,40,8.4e-7,6.1e-7,1.1e-6
Female,aian,2023,45,6e-7,4.2e-7,8.1e-7
Female,aian,2023,50,5.7e-7,4.1e-7,7.7e-7
Female,aian,2023,55,3.7e-7,2.5e-7,5.2e-7
Female,aian,2023,60,2.7e-7,1.7e-7,4e-7
Female,aian,2023,65,1.8e-7,1e-7,2.8e-7
Female,aian,2023,70,1.3e-7,7e-8,2.2e-7
Female,aian,2023,75,2.1e-7,1.2e-7,3.4e-7
Female,aian,2023,80,2.6e-7,1.4e-7,4.1e-7
Female,api,2013,0,2e-8,0,1.1e-7
Female,api,2013,1,2e-8,0,6e-8
Female,api,2013,5,3e-8,1e-8,9e-8
Female,api,2013,10,3e-8,0,8e-8
Female,api,2013,15,6e-8,2e-8,1.3e-7
Female,api,2013,20,1.5e-7,8e-8,2.8e-7
Female,api,2013,25,2.4e-7,1.3e-7,4.3e-7
Female,api,2013,30,2.6e-7,1.5e-7,4.2e-7
Female,api,2013,35,2.2e-7,1.2e-7,3.6e-7
Female,api,2013,40,2.6e-7,1.5e-7,4.3e-7
Female,api,2013,45,1.9e-7,1e-7,3.3e-7
Female,api,2013,50,2.5e-7,1.4e-7,4.3e-7
Female,api,2013,55,1.3e-7,6e-8,2.5e-7
Female,api,2013,60,1e-7,4e-8,2e-7
Female,api,2013,65,7e-8,2e-8,1.5e-7
Female,api,2013,70,4e-8,1e-8,9e-8
