"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	163	23878	682.6
	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	333	78302	425.3
	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	3925	297942	1317.4
	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	7870	1452001	542.0
	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	180	24937	721.8
	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	372	82483	451.0
	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	4897	307443	1592.8
	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	10197	1528776	667.0
	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	130	26410	492.2
	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	350	80588	434.3
	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	3870	302401	1279.8
	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	7967	1447232	550.5
	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	193	27564	700.2
	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	447	84431	529.4
	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	4901	312650	1567.6
	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	10177	1524372	667.6
